score_full	country	S2	S5	S26	S27	education	age
24.3	US	2	4	3	1	1	16
35.9	GB	3	1	1	1	4	46
21.2	US	5	4	5	4	1	14
28.9	US	3	4	2	2	1	13
40.95	CH	3	3	1	3	4	50
21.45	US	5	5	5	4	2	14
15.4	IN	1	5	1	1	4	59
40.3	GB	4	1	3	4	2	23
32.3	US	4	5	4	1	1	15
30.2	US	1	5	1	3	2	49
40.65	US	3	3	1	3	3	42
6.75	IN	3	4	5	2	4	21
25.1	GB	5	5	4	2	2	16
26.85	VE	3	4	3	4	2	17
14.6	US	5	4	4	2	2	17
19.8	AU	1	5	1	5	1	13
23.5	US	1	5	1	2	3	37
45	US	3	4	1	2	2	65
32.85	US	3	5	5	5	2	33
14.95	ID	3	2	4	3	4	30
34.25	IN	3	1	1	3	4	37
21.2	IN	5	3	1	3	4	36
39.3	US	2	2	2	4	3	66
39.3	SG	2	4	2	4	4	30
38.6	IN	5	3	4	5	4	29
45	US	4	4	3	3	3	34
24.55	US	4	1	4	1	3	20
25.65	US	2	3	3	2	2	47
39.65	US	2	4	3	0	3	71
40.95	GB	1	4	2	2	4	50
32.85	GB	3	5	4	2	4	43
37.95	GB	1	1	1	3	2	57
29.55	US	4	1	1	5	4	33
40.65	CA	1	5	1	5	4	44
29.2	US	5	1	5	5	2	22
40.3	US	1	1	1	1	0	68
42.3	US	4	3	1	1	3	30
28.9	AU	3	3	3	3	2	39
39.6	US	1	1	2	1	2	45
32.85	US	5	3	1	3	2	19
41.65	CA	5	3	2	2	3	26
42.3	ES	5	1	3	5	4	62
38.25	US	3	3	0	4	2	36
40.65	NL	3	1	4	5	3	60
39.6	US	3	1	1	4	2	52
23.15	US	3	2	1	3	4	31
42	US	2	1	3	5	4	48
35.25	GB	5	1	1	4	4	45
31.95	US	5	4	1	4	4	24
29.2	US	2	2	2	4	2	32
9.9	PH	4	2	4	3	2	16
30.25	US	4	4	3	5	2	18
43.65	GB	5	1	4	3	3	28
15.4	US	1	1	1	3	1	17
32.6	US	2	1	1	4	1	18
17.5	NG	3	3	5	1	3	26
22.25	US	4	5	1	2	2	20
24.45	US	2	4	1	4	1	22
13.65	BR	5	3	3	2	1	15
21.75	US	4	3	3	3	2	39
16.85	IN	3	4	4	5	3	21
38.6	US	3	1	3	4	2	58
23.1	AU	2	3	2	1	3	25
41.3	US	1	5	2	5	3	52
39.6	CA	1	3	4	5	2	58
16.3	MY	2	2	3	2	2	23
36.6	US	2	5	3	1	1	17
42.65	US	3	2	4	5	4	30
37.65	US	3	1	3	5	3	25
36.9	US	4	2	4	4	2	17
21	US	4	4	4	5	2	20
34.3	PH	1	2	2	4	4	74
10.45	US	1	5	1	1	3	30
31.2	GB	2	1	2	4	3	75
32.2	US	4	1	2	4	3	53
23.3	TR	5	2	4	2	2	15
37.6	US	4	1	2	4	4	26
42.3	US	2	1	1	3	4	73
29.2	GB	4	2	5	5	3	20
24.9	US	4	3	1	4	1	17
31.25	BE	2	4	2	5	2	20
8.15	FR	1	2	3	4	4	30
39.6	GB	1	4	2	1	4	48
41.3	US	1	1	2	4	4	41
43.65	US	1	1	1	1	4	80
26.65	US	2	1	1	4	4	32
31.65	NG	2	2	2	2	3	30
32.25	US	4	5	4	5	2	21
32.2	US	4	4	4	5	3	29
35.95	GB	5	1	3	3	2	47
21.9	IE	4	4	2	2	2	18
36.95	NL	4	4	2	2	2	32
45	GB	3	4	4	4	4	30
40.95	GB	3	2	4	3	4	35
36.6	FR	3	1	4	4	3	36
13.8	PH	4	4	3	4	3	22
36.25	US	4	3	4	2	2	18
27.45	US	3	2	2	3	3	23
23.8	AU	4	3	4	4	2	23
19.55	DK	2	2	2	5	3	46
41.3	US	4	1	1	5	4	59
24.55	DE	3	1	3	4	3	19
18.8	IL	3	5	1	3	2	18
36.6	IT	3	4	1	1	4	48
22.3	US	4	1	4	1	2	35
32.2	US	1	1	1	1	2	69
37.25	CA	2	4	2	1	2	21
36.6	RO	3	1	2	3	3	34
35.55	AU	2	3	2	2	3	20
0.65	IN	3	3	4	4	4	34
38.6	GB	3	4	3	2	4	27
33.55	US	5	1	2	2	2	45
38.6	AU	2	2	4	2	3	62
26.6	US	1	5	1	1	2	59
20.5	NG	1	5	5	1	2	26
36.6	US	3	4	2	3	2	41
40.95	US	5	3	1	5	3	70
38.25	US	4	5	2	4	3	34
16.2	IN	5	2	5	5	1	17
19.25	US	1	3	3	4	1	16
22.15	NL	5	1	5	5	2	28
27.45	US	4	5	1	5	3	26
21.55	US	4	2	4	3	1	15
39.65	AU	2	4	2	4	4	27
24.2	US	4	5	2	4	3	22
14.6	IN	3	4	3	2	4	26
37.25	VN	4	1	1	5	4	65
35.25	DE	4	1	3	3	4	32
24.5	RU	3	3	3	4	2	21
41.3	US	4	1	2	5	3	50
28.2	IT	2	4	2	4	1	16
40.95	US	1	4	2	4	3	23
